한국어	이미지
기간테스의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_WA_Legend_0.png
기술서 (드래곤 로어 : 베테랑)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
기술서 (드래곤 로어)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
기술서 (어웨이크닝)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
기술서 (오러 가드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
기술서 (오러 블레이드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
기술서 (인듀어런스 : 베테랑)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
기술서 (카운터 배리어 : 베테랑)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
기술서 (풀링)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_3.png
나이트 발드의 양손검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Lswd_Black.png
네크로맨서의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_middle_04.png
단죄의 기관포	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Gun_Punish.png
대지의 마수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Fist_Earth.png
대학살의 사이드	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Scythe_Carnage.png
데몬의 지팡이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Stf_Demon.png
데스나이트의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/armor_of_deathknight.png
데스나이트의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/boots_of_deathknight.png
데스나이트의 불검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/sword_of_death_knight.png
데스나이트의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/gloves_of_deathknight.png
데스나이트의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_high_05.png
데스나이트의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/helm_of_deathknight.png
드래곤 슬레이어	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/dragon_slayer.png
드래곤 슬레이어 검 조각	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Material_dragonslayer_shard.png
드레이크 킹의 가죽 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_Drakeking.png
라돈의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_high_02.png
라이아의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_LASLegend.png
리치 로브	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Rich.png
리치의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_Rich.png
린드비오르의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_high_07.png
마격서 (라이즈 : 오디엄)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_5.png
마격서 (리뎀션)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_5.png
마격서 (카운터 베인 : 오디엄)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_5.png
마격서 (파로스 : 오디엄)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_5.png
마격서 (프로즌 대쉬 : 오디엄)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_5.png
마격서 (프로즌 스톱 : 오디엄)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_5.png
마격서 (프로즌 필드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_5.png
마법서 (데스힐: 에이션트)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (디스인티그레이트)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (리커버리 배리어)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (릴리즈)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (미티어 스트라이크)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (스톱)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (스펙터)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (앱솔루트 배리어)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (이뮨 투 함 : 에이션트)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마법서 (캔슬레이션 : 에이션트)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_3.png
마프르의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_Mapr.png
망령의 태도	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_LongBlade_LASLegend.png
망자의 챠크람	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cha_Immortal.png
머미 로드의 벨트	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Waist_MummyLord.png
머미 로드의 왕관	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_MummyLord.png
모욕의 지팡이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Stf_LASLegend.png
몽환의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_PD.png
미노타우르스의 가죽 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Minotaur.png
미노타우르스의 가죽 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_Minotaur.png
반역자의 방패	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/shield_of_traitor.png
뱀파이어의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_Vampire.png
베레스의 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_Beleth.png
병법서 (글로잉 가디언)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_3.png
병법서 (글로잉 소드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_3.png
병법서 (블러드 유니온)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_3.png
병법서 (빅토리 오더)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_3.png
병법서 (엑스칼리버 : 마스터)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_3.png
병법서 (엑스칼리버)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_3.png
병법서 (임페리얼 카운터)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_3.png
복종의 비수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_ShortBlade_Obey.png
복종의 태도	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_LongBlade_Obey.png
분노의 목걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Neck_Fury.png
분쇄의 크로우	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cla_LASLegend.png
불굴의 흉갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Indomitable.png
불꽃의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Phoenix.png
불멸의 성검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hswd_Immortal.png
불변의 목걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Neck_Immutability.png
불신의 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_Distrust.png
빛나는 마프르의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_Maphr.png
빛나는 에바의 목걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Neck_Eva.png
빛바랜 오시리스의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_Osiris_03.png
빛바랜 오시리스의 벨트	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Waist_Osiris_02.png
빛바랜 제브 레퀴의 귀걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Ear_Zebrequi_02.png
사막의 벨트	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Waist_Desert_01.png
사이하의 활	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Bow_saiha.png
삭풍의 기관포	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Gun_Boreas.png
샌드웜의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_high_01.png
선광의 향로	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_PA_M_Forelight.png
선별자의 암갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Arbiter.png
성서 (루미너스 : 디바인)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_5.png
성서 (블레이드 : 디바인)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_5.png
성서 (이노센트 배리어)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_5.png
성서 (저지먼트 스턴 : 강화 디바인)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_5.png
성서 (퍼니셔 : 디바인)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_5.png
성서 (헬 프레셔)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_5.png
성서 (홀리 부스터 : 디바인)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_5.png
성전의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Metatron.png
성전의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Metatron.png
성전의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_Metatron.png
세계수의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Elm.png
세계수의 손길	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/gloves_of_elm.png
세계수의 장화	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_Elm.png
세계수의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_Elm.png
수행서 (망자 걸음 : 탄트라)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
수행서 (명부 사자)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
수행서 (무상)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
수행서 (선고 : 탄트라)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
수행서 (영체 묶기)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
수행서 (영체 타격 : 탄트라)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
수행서 (영체화 : 탄트라)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
수행서 (처단 : 강화 탄트라)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_5_Legend.png
스피리드의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_high_04.png
시어의 심안	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_SeersEye.png
신념의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Creed.png
신념의 귀걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Ear_Patience.png
심연의 사이드	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Scythe_Abyss.png
심연의 향로	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_PA_M_Abyss.png
심판관의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_middle_01.png
심판자의 챠크람	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cha_Executor.png
아이리스의 목걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Neck_Iris.png
아이리스의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_Iris.png
안식의 향로	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Sanctuary.png
안타라스의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_high_06.png
알스카리아의 목걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_nec_DoppelgangerNecklace.png
암야의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Nightfall.png
어둠의 귀걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Ear_Darkness.png
에바의 방패	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Eva.png
에번트의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_HouseEvant.png
에이션트 가디언의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_AcientGuardian.png
에이션트 자이언트의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Waist_AncientGiant.png
여왕의 암갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_FI_Flame.png
연옥의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_Purgatory.png
염화의 마력포	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Ember.png
염화의 목걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Neck_Ifrit.png
영겁의 귀검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Dbla_Bloodsoul.png
영광의 헤일로	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Glory.png
영생의 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_Eternal.png
영혼 결정 (길로틴: 어비스)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_5_Legend.png
영혼 결정 (소울 배리어)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_5_Legend.png
영혼 결정 (소울 아밍)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_5_Legend.png
영혼 결정 (소울 프로텍션 : 어비스)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_5_Legend.png
영혼 결정 (카오스 리플렉션)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_5_Legend.png
영혼 결정 (카오스 미라쥬)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_5_Legend.png
영혼 결정 (카오스 필드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_5_Legend.png
요호의 보주	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Kitsune.png
용맹함의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Valor.png
용염의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Targon.png
우그누스의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_Ugnus.png
원한의 검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Swd_LASLegend.png
전사의 인장 (데스페라도)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전사의 인장 (버서커 : 라이징)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전사의 인장 (타이탄 락 : 라이징)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전사의 인장 (타이탄 브레이크)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전사의 인장 (타이탄 폴)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전사의 인장 (타이탄 필드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전사의 인장 (타이탄 하트)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전사의 인장 (퓨리 : 라이징)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_5_Legend.png
전설 무기 제작 비법서	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/precious_manual_weapon_03.png
전설 방어구 제작 비법서	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/precious_manual_defense_03.png
전설 장신구 제작 비법서	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/precious_manual_acc_03.png
전설 제작 비법서	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/precious_manual_03.png
전술 교본 (그래비티 샷 : 트루퍼)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
전술 교본 (리로드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
전술 교본 (버닝 미스트)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
전술 교본 (블리츠)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
전술 교본 (인페르노 : 트루퍼)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
전술 교본 (턴 택틱스 : 트루퍼)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
