분류	한국어	中文	English	티어
보스	부활의 야히 궁수	復活的火焰之影弓箭手	Yahi Archer of Resurrection	
보스	분노한 드레이크 킹	憤怒的飛龍王	Furious Drake King	
보스	불멸의 리치	不滅的巫妖	Immortal Lich	
보스	불멸의 야히 기병	不滅的火焰之影騎兵	Immortal Yahi Cavalry	
보스	불사의 머미 로드	不死的木乃伊王	Immortal Mummy Lord	
보스	불신의 시어	不信的幻象眼魔	Distrustful Seer	
보스	불완전한 발록	不完整的炎魔	Incomplete Balrog	
보스	불완전한 사신 그림 리퍼	不完整的鐮刀死神	Incomplete God of Death Grim Reaper	
보스	불의 대정령	火精靈王	Great Fire Spirit	
보스	사신 그림 리퍼	鐮刀死神	God of Death Grim Reaper	
보스	사신의 해골 기사	死神骷髏騎士	Reaper's Skeleton Knight	
보스	산을 먹은 우르쏜	啃咬山峰的烏爾森	Mountain Eater Urthorn	
보스	산호껍질 크랩맨	珊瑚殼蟹人	Coral Shell Crabman	
보스	선장 칼립소	船長卡利索	Captain Calypso	
보스	소환된 검은 망령 라이오스	召喚的黑色亡靈萊奧斯	Summoned Black Revenant Laius	
보스	소환된 공포의 뱀파이어	召喚的恐怖吸血鬼	Summoned Vampire of Terror	
보스	소환된 광풍의 샤스키	召喚的狂風的夏斯奇	Summoned Shasky the Galecutter	
보스	소환된 굴라	召喚的古拉	Summoned Gula	
보스	소환된 네크로맨서	召喚的巫師	Summoned Necromancer	
보스	소환된 네크로스	召喚的奈克偌斯	Summoned Necros	
보스	소환된 대흑장로	召喚的大黑長者	Summoned High Dark Stygian	
보스	소환된 데몬	召喚的惡魔	Summoned Demon	
보스	소환된 데스나이트	召喚的死亡騎士	Summoned Death Knight	
보스	소환된 두목 하그마	召喚的頭目哈格瑪	Summoned Boss Hagma	
보스	소환된 땅의 대정령	召喚的地精靈王	Summoned Great Earth Spirit	
보스	소환된 라인하르트	召喚的萊茵哈德	Summoned Reinhardt	
보스	소환된 마담 바르보사	召喚的巴爾博薩夫人	Summoned Madame Barbosa	
보스	소환된 물의 대정령	召喚的水精靈王	Summoned Great Water Spirit	
보스	소환된 바람의 대정령	召喚的風精靈王	Summoned Great Wind Spirit	
보스	소환된 베레스	召喚的巴列斯	Summoned Vereth	
보스	소환된 불신의 시어	召喚的不信幻象眼魔	Summoned Distrustful Seer	
보스	소환된 불의 대정령	召喚的火精靈王	Summoned Great Fire Spirit	
보스	소환된 산을 먹은 우르쏜	召喚的啃咬山峰的烏爾森	Summoned Mountain Eater Urthorn	
보스	소환된 심판자 라마슈	召喚的審判者拉馬修	Summoned Punisher Ramashu	
보스	소환된 오르쿠스	召喚的烏勒庫斯	Summoned Orcus	
보스	소환된 왜곡의 제니스 퀸	召喚的扭曲傑尼斯女王	Summoned Twisted Queen Zenith	
보스	소환된 잊혀진 자 알스카리아	召喚的被遺忘者阿爾斯卡利亞	Summoned Alscaria the Forgotten	
보스	소환된 죽음	召喚的死亡	Summoned Death	
보스	소환된 죽음의 좀비 로드	召喚的死亡殭屍王	Summoned Zombie Lord of Death	
보스	소환된 질풍의 거대 드레이크	召喚的疾風的巨大飛龍	Summoned Giant Wind Drake	
보스	소환된 칼투란	召喚的卡爾圖蘭	Summoned Kalturan	
보스	소환된 커츠	召喚的克特	Summoned Kurtz	
보스	소환된 쿠르토	召喚的庫爾託	Summoned Kruto	
보스	소환된 큰 발의 마요	召喚的大腳瑪幽	Summoned Mahyo Large Foot	
보스	소환된 타락	召喚的墮落	Summoned Corruption	
보스	소환된 타락자 디아르	召喚的墮落者迪亞勒	Summoned Tainted Diar	
보스	소환된 피닉스	召喚的不死鳥	Summoned Phoenix	
보스	순혈의 발록 도끼병	純血統炎魔斧頭兵	Barlog Chopper of Pure Blood	
보스	스피리드 분신	樹精分身	Spirid's Clone	
보스	심연의 서큐버스 퀸	深淵的思克巴女皇	Abyssal Queen Succubus	
보스	심판자 라마슈	審判者拉馬修	Punisher Ramashu	
보스	아르고트	阿爾戈特	Argaute	
보스	아르피어	阿勒尼亞	Arpier	
보스	암살군왕 슬레이브	暗殺軍王史雷佛	Assassin King Slaiv	
보스	야히	火焰之影	Yahi	
보스	어둠의 나이트 발드	黑暗的騎士范德	Dark Knight Vald	
보스	얼음 여왕	冰之女王	Ice Queen	
보스	얼음 여왕의 환영	冰之女王的幻影	Ice Queen's Apparition	
보스	에이션트 가디언	古代守護者	Ancient Guardian	
보스	에이션트 자이언트	古代巨人	Ancient Giant	
보스	에키드나	艾奇德娜	Echidna	
보스	엘모어 대장군	艾爾摩大將軍	Elmore Marshal	
보스	여왕 개미	巨蟻女皇	Queen Ant Elzabe	
보스	오르쿠스	烏勒庫斯	Orcus	
보스	오만한 우그누스	傲慢的烏格奴斯	Ugnus of Insolence	
보스	오시리스	歐西里斯	Osiris	
보스	왜곡의 제니스 퀸	扭曲的傑尼斯女王	Distorted Zenith Queen	
보스	원한의 커츠	怨恨的克特	Resentful Kurtz	
보스	위선의 쉐도우로드	虛偽的暗影之王	Deceitful Shadow Lord	
보스	위선의 시어	虛偽的幻象眼魔	Deceitful Seer	
보스	위선의 오라클	虛偽的先知	Deceitful Oracle	
보스	이프리트	伊弗利特	Ifrit	
보스	일렉카둠	伊萊克頓	Eleckadoom	
보스	잊혀진 자 알스카리아	被遺忘者阿爾斯卡利亞	Alscaria the Forgotten	
보스	자경단장 마토르	自警團長馬托爾	Militia Leader Mathor	
보스	자이언트 샌드웜	巨大沙蟲	Giant Sandworm	
보스	자이언트 웜	巨大蜈蚣	Giant Worm	
보스	자이언트 크로커다일	史前巨鱷	Giant Crocodile	
보스	잔혹한 아이리스	殘酷的艾莉絲	Wicked Iris	
보스	잔혹한 자드 아즈테	殘酷的薩德阿茲特	Cruel Zard Azte	
보스	잔혹한 하피	殘酷的哈維	Vicious Harpy	
보스	정예 사자	精銳使者	Elite Herald	
보스	제브 레퀴	杰弗雷庫	Zebb Requis	
보스	죽음	死亡	Death	
보스	죽음의 좀비 로드	死亡的殭屍王	Zombie Lord of Death	
보스	지룡 안타라스	地龍安塔瑞斯	Earth Dragon Antharas	
보스	지룡의 수호기사	地龍守護騎士	Earth Dragon's Guardian Knight	
보스	지룡의 유니 드래곤	地龍的泥龍	Earth Dragon's Unidragon	
보스	지룡의 테라 드래곤	地龍的荒龍	Earth Dragon's Terra Dragon	
보스	지배의 감시자 리퍼	支配的監視者死神	Reaper Watchman of Reign	
보스	지배의 위도우 로드	支配的寡婦王	Widow Lord of Reign	
보스	지배의 위도우 워커	支配的寡婦工人	Widow Walker of Reign	
보스	지옥의 쿠거	地獄的黑豹	Hell Cougar	
보스	질풍의 거대 드레이크	疾風的巨大飛龍	Giant Wind Drake	
보스	칠흑의 데스나이트	漆黑的死亡騎士	Pitch-Black Death Knight	
보스	침묵의 군주	沉默的君主	Silent Lord	
보스	칼투란	卡爾圖蘭	Kalturan	
보스	커츠	克特	Kurtz	
보스	케레니스	賽尼斯	Kerenis	
보스	코카트리스 킹	亞力安王	Cockatrice King	
보스	쿠르토	庫爾託	Kruto	
보스	큰 발의 마요	大腳瑪幽	Mahyo Large Foot	
보스	타곤	塔坤	Taghon	
보스	타락	墮落	Corruption	
보스	타락자 디아르	墮落者迪亞勒	Tainted Diar	
보스	테베 머미 골렘	底比斯木乃伊高崙	Tebe Mummy Golem	
보스	파멸의 발록 기병	破滅的炎魔騎兵	Barlog Cavalry of Destruction	
보스	파푸리온	法利昂	Fafurion	
보스	포악한 드레이크 킹	兇惡的飛龍王	Vicious Drake King	
보스	풍룡 린드비오르	風龍林德拜爾	Wind Dragon Lindvior	
보스	풍룡의 테라 드래곤	風龍的荒龍	Wind Terra Dragon	
보스	피닉스	不死鳥	Phoenix	
보스	하딘	哈汀	Hardin	
보스	흑염귀왕	黑炎鬼王	Dark Flame Demon King	
전설	갈망의 헤일로	渴望的光暈	Halo of Longing	2티어
전설	감시자의 반지	監視者戒指	Watchman's Ring	1티어
전설	검은 망령의 갑옷	黑色亡靈盔甲	Black Revenant's Armor	3티어
전설	검은 망령의 부츠	黑色亡靈長靴	Black Revenant's Boots	3티어
전설	검은 망령의 장갑	黑色亡靈手套	Black Revenant's Gloves	3티어
전설	검은 망령의 투구	黑色亡靈頭盔	Black Revenant's Helm	3티어
전설	격류의 부츠	激流長靴	Boots of Torrent	2티어
전설	격류의 장갑	激流手套	Gloves of Torrent	2티어
전설	격분의 장갑	激憤手套	Wrath Gloves	2티어
전설	고대 신의 도끼	古代神之斧頭	Ancient God's Axe	2티어
전설	고대 신의 성검	古代神之聖劍	Ancient God's Holy Sword	2티어
전설	고대 신의 챠크람	古代神之環刃	Ancient God's Chakram	2티어
전설	공포의 귀걸이	恐懼耳環	Earrings of Fear	2티어
전설	공허의 활	空虛之弓	Void Bow	3티어
전설	광폭의 성검	狂暴聖劍	Holy Sword of Berserk	1티어
전설	군단의 대검	軍團大劍	Legion's Greatsword	1티어
전설	군왕의 활	軍王之弓	King's Bow	1티어
전설	권능의 각반	權能脛甲	Gaiters of Almighty Force	1티어
전설	권능의 투구	權能頭盔	Helm of Almighty Force	2티어
전설	귀혼서 (강령술 : 극)	鬼魂書 (降靈術 : 極)	Phantom Scroll (Spectral Wraith: Ultimate)	
전설	귀혼서 (강림)	鬼魂書 (降臨)	Phantom Scroll (Advent)	
전설	귀혼서 (반기 : 극)	鬼魂書 (反技 : 極)	Phantom Scroll (Opposing Energy: Ultimate)	
전설	귀혼서 (양기 호흡 : 극)	鬼魂書 (陽氣吸收 : 極)	Phantom Scroll (Yang Energy Breathing: Ultimate)	
전설	귀혼서 (요기 개방)	鬼魂書 (妖氣開放)	Phantom Scroll (Spirit Energy Unleashed)	
전설	귀혼서 (월혼격 : 극)	鬼魂書 (月魂擊 : 極)	Phantom Scroll (Moonlit Strike: Ultimate)	
전설	귀혼서 (적월경)	鬼魂書 (赤月鏡)	Phantom Scroll (Red Moon)	
전설	귀혼서 (화형술)	鬼魂書 (化形術)	Phantom Scroll (Transformation)	
전설	균열의 마수	裂痕魔手	Manahand of the Rift	1티어
전설	그림자단의 가더	影子團臂甲	Shadows' Guard	1티어
전설	극한의 갑옷	極寒盔甲	Frozen Armor	1티어
전설	극한의 부츠	極寒長靴	Frozen Boots	1티어
전설	극한의 장갑	極寒手套	Frozen Gloves	2티어
전설	극한의 투구	極寒頭盔	Frozen Helm	2티어
전설	긍지의 각반	自豪脛甲	Gaiters of Pride	1티어
전설	기간테스의 가더	巨人族臂甲	Gigantes' Guarder	0티어
전설	기술서 (드래곤 로어 : 베테랑)	技術書 (龍嘯 : 專家)	Vanguard's Spellbook (Dragon's Roar: Veteran)	
전설	기술서 (드래곤 로어)	技術書 (龍嘯)	Vanguard's Spellbook (Dragon's Roar)	
전설	기술서 (어웨이크닝)	技術書 (喚醒術)	Vanguard's Spellbook (Awakening)	
전설	기술서 (오러 가드)	技術書 (氣場護甲)	Vanguard's Spellbook (Aura Guard)	
전설	기술서 (오러 블레이드)	技術書 (氣場之刃)	Vanguard's Spellbook (Aura Blade)	
전설	기술서 (인듀어런스 : 베테랑)	技術書 (忍耐 : 專家)	Vanguard's Spellbook (Endurance: Veteran)	
전설	기술서 (카운터 배리어 : 베테랑)	技術書 (反擊屏障 : 專家)	Vanguard's Spellbook (Counter Barrier: Veteran)	
전설	기술서 (풀링)	技術書 (牽引)	Vanguard's Spellbook (Pulling)	
전설	나이트 발드의 양손검	騎士范德雙手劍	Knight Vald's Two-Handed Sword	0티어
전설	네크로맨서의 정수	巫師的精髓	Necromancer's Essence	
전설	단죄의 기관포	斷罪機關砲	Autocannon of Conviction	1티어
전설	대지의 마수	大地魔手	Gravel Manahand	3티어
전설	대학살의 사이드	大屠殺鐮刀	Carnage Scythe	1티어
전설	데몬의 지팡이	惡魔魔杖	Demon's Staff	0티어
전설	데스나이트의 갑옷	死亡騎士盔甲	Death Knight's Armor	3티어
전설	데스나이트의 부츠	死亡騎士長靴	Death Knight's Boots	3티어
전설	데스나이트의 불검	死亡騎士烈炎之劍	Death Knight's Flaming Sword	2티어
전설	데스나이트의 장갑	死亡騎士手套	Death Knight's Gloves	3티어
전설	데스나이트의 정수	死亡騎士的精髓	Death Knight's Essence	
전설	데스나이트의 투구	死亡騎士頭盔	Death Knight's Helm	3티어
전설	드래곤 슬레이어	屠龍劍	Dragon Slayer	0티어
전설	드래곤 슬레이어 검 조각	屠龍劍碎片	Dragon Slayer Sword Fragment	
전설	드레이크 킹의 가죽 장갑	飛龍王皮手套	Drake King's Leather Gloves	1티어
전설	라돈의 정수	拉敦的精髓	Rahdon's Essence	
전설	라이아의 반지	蕾雅戒指	Leia's Ring	1티어
전설	리치 로브	巫妖長袍	Lich Robe	2티어
전설	리치의 반지	巫妖的戒指	Lich's Ring	0티어
전설	린드비오르의 정수	林德拜爾的精髓	Lindvior's Essence	
전설	마격서 (라이즈 : 오디엄)	魔鬥書 (增強 : 仇恨)	Book of Mana Strike (Rise: Odium)	
전설	마격서 (리뎀션)	魔鬥書 (救贖)	Book of Mana Strike (Redemption)	
전설	마격서 (카운터 베인 : 오디엄)	魔鬥書 (反擊之禍 : 仇恨)	Mana Striker (Counter Vane: Odium)	
전설	마격서 (파로스 : 오디엄)	魔鬥書 (立標 : 仇恨)	Book of Mana Strike (Faros: Odium)	
전설	마격서 (프로즌 대쉬 : 오디엄)	魔鬥書 (寒冰衝刺 : 仇恨)	Book of Mana Strike (Frozen Dash: Odium)	
전설	마격서 (프로즌 스톱 : 오디엄)	魔鬥書 (寒冰靜止 : 仇恨)	Book of Mana Strike (Frozen Stop: Odium)	
전설	마격서 (프로즌 필드)	魔鬥書 (寒冰領域)	Book of Mana Strike (Frozen Field)	
전설	마법서 (데스힐: 에이션트)	魔法書 (治癒逆行 : 古代)	Magic Spellbook (Death Heal: Ancient)	
전설	마법서 (디스인티그레이트)	魔法書 (究極光裂術)	Magic Spellbook (Disintegrate)	
전설	마법서 (리커버리 배리어)	魔法書 (恢復屏障)	Magic Spellbook (Recovery Barrier)	
전설	마법서 (릴리즈)	魔法書 (釋放)	Magic Spellbook (Release)	
전설	마법서 (미티어 스트라이크)	魔法書 (流星雨)	Magic Spellbook (Meteor Strike)	
전설	마법서 (스톱)	魔法書 (時間靜止)	Magic Spellbook (Stop)	
전설	마법서 (스펙터)	魔法書 (幽靈)	Magic Spellbook (Specter)	
전설	마법서 (앱솔루트 배리어)	魔法書 (絕對屏障)	Magic Spellbook (Absolute Barrier)	
전설	마법서 (이뮨 투 함 : 에이션트)	魔法書 (聖結界 : 古代)	Magic Spellbook (Immune to Harm : Ancient)	
전설	마법서 (캔슬레이션 : 에이션트)	魔法書 (魔法相消術 : 古代)	Magic Spellbook (Cancellation: Ancient)	
전설	마프르의 망토	梅芙斗篷	Maphr's Cloak	2티어
전설	망령의 태도	亡靈太刀	Revenant's Hwando	1티어
전설	망자의 챠크람	亡者環刃	Chakram of the Dead	3티어
전설	머미 로드의 벨트	木乃伊王的腰帶	Mummy Lord's Belt	1티어
전설	머미 로드의 왕관	木乃伊王的王冠	Mummy Lord's Crown	2티어
전설	모욕의 지팡이	侮辱魔杖	Staff of Ridicule	1티어
전설	몽환의 반지	夢幻戒指	Phantasm Ring	0티어
전설	미노타우르스의 가죽 갑옷	牛人皮革盔甲	Minotaur's Leather Armor	1티어
전설	미노타우르스의 가죽 투구	牛人皮革頭盔	Minotaur's Leather Helm	1티어
전설	반역자의 방패	叛徒盾牌	Traitor's Shield	2티어
전설	뱀파이어의 망토	吸血鬼斗篷	Vampire's Cloak	2티어
전설	베레스의 각반	巴列斯脛甲	Vereth's Gaiters	2티어
전설	병법서 (글로잉 가디언)	兵法書 (灼熱守護者)	Ruler's Spellbook (Glowing Guardian)	
전설	병법서 (글로잉 소드)	兵法書 (灼熱之劍)	Ruler's Spellbook (Glowing Sword)	
전설	병법서 (블러드 유니온)	兵法書 (血之聯合)	Ruler's Spellbook (Blood Union)	
전설	병법서 (빅토리 오더)	兵法書 (勝利指揮)	Ruler's Spellbook (Victory Order)	
전설	병법서 (엑스칼리버 : 마스터)	兵法書 (王者之劍 : 大師)	Ruler's Spellbook (Excalibur: Master)	
전설	병법서 (엑스칼리버)	兵法書 (王者之劍)	Ruler's Spellbook (Excalibur)	
전설	병법서 (임페리얼 카운터)	兵法書 (帝國反擊)	Ruler's Spellbook (Imperial Counter)	
전설	복종의 비수	服從匕首	Yedo of Obedience	2티어
전설	복종의 태도	服從太刀	Hwando of Obedience	3티어
전설	분노의 목걸이	憤怒項鍊	Rage Necklace	3티어
전설	분쇄의 크로우	粉碎鋼爪	Crushing Claws	1티어
전설	불굴의 흉갑	不屈胸甲	Indomitable Breastplate	2티어
전설	불꽃의 가더	火花臂甲	Guarder of Ember	0티어
전설	불멸의 성검	不滅聖劍	Holy Sword of Immortality	3티어
전설	불변의 목걸이	不變項鍊	Necklace of Immutability	1티어
전설	불신의 각반	不信脛甲	Gaiters of Distrust	2티어
전설	빛나는 마프르의 반지	閃耀的梅芙戒指	Shining Maphr's Ring	0티어
전설	빛나는 에바의 목걸이	閃耀的伊娃項鍊	Shining Eva's Necklace	2티어
전설	빛바랜 오시리스의 반지	褪色的歐西里斯戒指	Faded Osiris' Ring	0티어
전설	빛바랜 오시리스의 벨트	褪色的歐西里斯皮帶	Faded Osiris' Belt	0티어
전설	빛바랜 제브 레퀴의 귀걸이	褪色的杰弗雷庫耳環	Faded Zebb Requis' Earrings	0티어
전설	사막의 벨트	沙漠皮帶	Belt of Desert	1티어
전설	사이하의 활	沙哈之弓	Sayha's Bow	2티어
전설	삭풍의 기관포	朔風機關砲	Northern Wind Autocannon	3티어
전설	샌드웜의 정수	沙蟲的精髓	Sandworm's Essence	
전설	선광의 향로	閃光香爐	Merciful Incense Burner	0티어
전설	선별자의 암갑	篩選者暗甲	The Chosen's Arm Pack	2티어
전설	성서 (루미너스 : 디바인)	聖書 (光輝 : 神聖)	Scripture (Luminous: Divine)	
전설	성서 (블레이드 : 디바인)	聖書 (聖之刃 : 神聖)	Scripture (Blade: Divine)	
전설	성서 (이노센트 배리어)	聖書 (聖潔屏障)	Scripture (Innocent Barrier)	
전설	성서 (저지먼트 스턴 : 강화 디바인)	聖書 (審判之暈 : 強化神聖)	Scripture (Judgment Stun: Enhanced Divine)	
전설	성서 (퍼니셔 : 디바인)	聖書 (制裁者 : 神聖)	Scripture (Punisher: Divine)	
전설	성서 (헬 프레셔)	聖書 (地獄壓制)	Scripture (Hell Pressure)	
전설	성서 (홀리 부스터 : 디바인)	聖書 (神聖增幅 : 神聖)	Scripture (Holy Booster: Divine)	
전설	성전의 가더	聖戰臂甲	Guarder of the Divine War	0티어
전설	성전의 갑옷	聖戰盔甲	Armor of the Divine War	1티어
전설	성전의 투구	聖戰頭盔	Helm of the Divine War	1티어
전설	세계수의 갑옷	世界樹盔甲	Mother Tree's Armor	3티어
전설	세계수의 손길	世界樹之手	Mother Tree's Touch	3티어
전설	세계수의 장화	世界樹短靴	Mother Tree's Boots	3티어
전설	세계수의 투구	世界樹頭盔	Mother Tree's Helm	3티어
전설	수행서 (망자 걸음 : 탄트라)	修行書 (亡者之步 : 教典)	Tome (Spirit Walk: Tantra)	
전설	수행서 (명부 사자)	修行書 (冥府使者)	Tome (Emissary of the Underworld)	
전설	수행서 (무상)	修行書 (無常)	Tome (Impermanence)	
전설	수행서 (선고 : 탄트라)	修行書 (宣告 : 教典)	Tome (Condemn: Tantra)	
전설	수행서 (영체 묶기)	修行書 (靈體綁縛)	Tome (Bind Spirit)	
전설	수행서 (영체 타격 : 탄트라)	修行書 (靈體打擊 : 教典)	Tome (Spiritual Strike: Tantra)	
전설	수행서 (영체화 : 탄트라)	修行書 (靈體化 : 教典)	Tome (Spiritualization: Tantra)	
전설	수행서 (처단 : 강화 탄트라)	修行書 (處決 : 強化教典)	Tome (Damnation: Enhanced Tantra)	
전설	스피리드의 정수	樹精的精髓	Spirid's Essence	
전설	시어의 심안	幻象眼魔的心眼	Seer's Mind Eye	1티어
전설	신념의 가더	信念臂甲	Guarder of Faith	2티어
전설	신념의 귀걸이	信念耳環	Earrings of Faith	2티어
전설	심연의 사이드	深淵鐮刀	Abyssal Scythe	2티어
전설	심연의 향로	深淵香爐	Abyssal Incense Burner	1티어
전설	심판관의 정수	審判官的精髓	Essence of Judgement	
전설	심판자의 챠크람	審判者環刃	Punisher's Chakram	1티어
전설	아이리스의 목걸이	艾莉絲項鍊	Iris' Necklace	1티어
전설	아이리스의 부츠	艾莉絲長靴	Iris' Boots	2티어
전설	안식의 향로	安息香爐	Incense Burner of Respite	2티어
전설	안타라스의 정수	安塔瑞斯的精髓	Antharas' Essence	
전설	알스카리아의 목걸이	阿爾斯卡利亞項鍊	Alscaria's Necklace	3티어
전설	암야의 가더	暗夜臂甲	Guarder of the Dark Nights	2티어
전설	어둠의 귀걸이	黑暗耳環	Earrings of Darkness	0티어
전설	에바의 방패	伊娃盾牌	Eva's Shield	1티어
전설	에번트의 망토	埃柏特斗篷	Evant's Cloak	2티어
전설	에이션트 가디언의 망토	古代守護者的斗篷	Ancient Guardian's Cloak	1티어
전설	에이션트 자이언트의 반지	古代巨人戒指	Ancient Giant's Ring	0티어
전설	여왕의 암갑	女王暗甲	Queen's Arm Pack	1티어
전설	연옥의 장갑	煉獄手套	Purgatorial Gloves	1티어
전설	염화의 마력포	焰火魔力砲	Magic Cannon of Inferno	2티어
전설	염화의 목걸이	業火項鍊	Necklace of Blaze	1티어
전설	영겁의 귀검	永劫鬼劍	Eternal Spirit Blade	2티어
전설	영광의 헤일로	榮耀的光暈	Halo of Glory	1티어
전설	영생의 각반	永生脛甲	Gaiters of Immortality	1티어
전설	영혼 결정 (길로틴: 어비스)	靈魂結晶 (斷頭台 : 深淵)	Soul Crystal (Guillotine: Abyss)	
전설	영혼 결정 (소울 배리어)	靈魂結晶 (靈魂屏障)	Soul Crystal (Soul Barrier)	
전설	영혼 결정 (소울 아밍)	靈魂結晶 (靈魂武裝)	Soul Crystal (Soul Arming)	
전설	영혼 결정 (소울 프로텍션 : 어비스)	靈魂結晶 (靈魂加護 : 深淵)	Soul Crystal (Soul Protection: Abyss)	
전설	영혼 결정 (카오스 리플렉션)	靈魂結晶 (渾沌反射)	Soul Crystal (Chaos Reflection)	
전설	영혼 결정 (카오스 미라쥬)	靈魂結晶 (渾沌蜃景)	Soul Crystal (Chaos Mirage)	
전설	영혼 결정 (카오스 필드)	靈魂結晶 (渾沌領域)	Soul Crystal (Chaos Field)	
전설	요호의 보주	妖狐寶珠	Fox Demon's Orb	2티어
전설	용맹함의 가더	勇猛臂甲	Guarder of Valor	2티어
전설	용염의 갑옷	龍炎盔甲	Dragon Flame Armor	2티어
전설	우그누스의 부츠	烏格奴斯的長靴	Ugnus' Boots	1티어
전설	원한의 검	怨恨之劍	Sword of Resentment	1티어
전설	전사의 인장 (데스페라도)	戰士印章 (亡命之徒)	Warrior's Emblem (Desperado)	
전설	전사의 인장 (버서커 : 라이징)	戰士印章 (狂戰士 : 提升)	Warrior's Emblem (Berserker: Rising)	
전설	전사의 인장 (타이탄 락 : 라이징)	戰士印章 (泰坦岩石 : 提升)	Warrior's Emblem (Titan Lock: Rising)	
전설	전사의 인장 (타이탄 브레이크)	戰士印章 (泰坦破壞)	Warrior's Emblem (Titan Break)	
전설	전사의 인장 (타이탄 폴)	戰士印章 (泰坦降臨)	Warrior's Emblem (Titan Fall)	
전설	전사의 인장 (타이탄 필드)	戰士印章 (泰坦領域)	Warrior's Emblem (Titan Field)	
전설	전사의 인장 (타이탄 하트)	戰士印章 (泰坦之心)	Warrior's Emblem (Titan Heart)	
전설	전사의 인장 (퓨리 : 라이징)	戰士印章 (狂暴 : 提升)	Warrior's Emblem (Fury: Rising)	
전설	전설 무기 제작 비법서	傳說武器製作秘笈	Legend Weapon Craft Recipe	
전설	전설 방어구 제작 비법서	傳說防具製作秘笈	Legend Armor Craft Recipe	
전설	전설 장신구 제작 비법서	傳說飾品製作秘笈	Legend Accessory Craft Recipe	
전설	전설 제작 비법서	傳說製作秘笈	Legend Craft Recipe	
전설	전술 교본 (그래비티 샷 : 트루퍼)	戰術教本 (重力射擊 : 步兵)	Tactics Manual (Gravity Shot: Trooper)	
전설	전술 교본 (리로드)	戰術教本 (填裝子彈)	Tactics Manual (Reload)	
전설	전술 교본 (버닝 미스트)	戰術教本 (燃燒之霧)	Tactics Manual (Burning Mist)	
전설	전술 교본 (블리츠)	戰術教本 (突襲)	Tactics Manual (Blitz)	
