보스	건수	주는 아이템
뒤틀린 실렌	18	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 전술 교본 (버닝 미스트)(전설) · 전술 교본 (버닝 미스트)(전설) · 귀혼서 (요기 개방)(전설) · 귀혼서 (요기 개방)(전설) · 병법서 (빅토리 오더)(전설) · 병법서 (빅토리 오더)(전설) · 혈법서 (서먼 가디언)(전설) · 흑혈의 성배(전설) · 수행서 (무상)(전설) · 전사의 인장 (타이탄 하트)(전설) · 성서 (크루세이더)(신화) · 성서 (크루세이더)(신화) · 혈법서 (서먼 가디언 : 크림슨)(신화) · 돌파석 결정(신화)
뒤틀린 에오르트	1	공허의 활(전설)
드루가의 보물 상자	4	드루가의 보물 상자(전설) · 드루가의 보물 상자(전설) · 드루가의 보물 상자(전설) · 드루가의 보물 상자(전설)
땅의 대정령	10	전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 마프르의 망토(전설) · 마프르의 망토(전설) · 몽환의 반지(전설) · 몽환의 반지(전설)
라돈	3	침묵의 대검(전설) · 마법서 (앱솔루트 배리어)(전설) · 라돈의 정수(전설)
라트모르	24	마법서 (스펙터)(전설) · 마법서 (스펙터)(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 성서 (저지먼트 스턴 : 강화 디바인)(전설) · 성서 (저지먼트 스턴 : 강화 디바인)(전설) · 정령의 수정 (어스 유니온)(전설) · 정령의 수정 (어스 유니온)(전설) · 수행서 (명부 사자)(전설) · 수행서 (명부 사자)(전설) · 기술서 (오러 가드)(전설) · 기술서 (오러 가드)(전설) · 혈법서 (블러드 배리어)(전설) · 혈법서 (블러드 배리어)(전설) · 혈법서 (블러드 퀸)(전설) · 혈법서 (블러드 퀸)(전설) · 혈옥의 성배(전설) · 혈옥의 성배(전설) · 수행서 (천도재)(신화) · 수행서 (천도재)(신화) · 돌파석 결정(신화) · 돌파석 결정(신화)
마담 바르보사	1	병법서 (블러드 유니온)(전설)
마령군왕 라이아	10	마법서 (디스인티그레이트)(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 세계수의 투구(전설) · 모욕의 지팡이(전설) · 라이아의 반지(전설) · 마법서 (릴리즈)(전설) · 귀혼서 (월혼격 : 극)(전설) · 혈법서 (블러드 퀸)(전설) · 돌파석 결정(신화)
마수군왕 바란카	7	전설 제작 비법서(전설) · 심판관의 정수(전설) · 흑정령의 수정 (파이널 번)(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 분쇄의 크로우(전설) · 혈법서 (블러드 핸드 : 크림슨)(전설) · 돌파석 결정(신화)
마이노	1	검은 망령의 장갑(전설)
망령 크리퍼스	15	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 군단의 대검(전설) · 군단의 대검(전설) · 망령의 태도(전설) · 망령의 태도(전설) · 흑정령의 수정 (언케니 닷지: 데스티니)(전설) · 흑정령의 수정 (언케니 닷지: 데스티니)(전설) · 전사의 인장 (버서커 : 라이징)(전설) · 전사의 인장 (버서커 : 라이징)(전설) · 혈법서 (베인 엔드 : 강화 크림슨)(전설) · 혈익의 사이드(전설) · 돌파석 결정(신화)
맹약의 라인하르트	3	침묵의 대검(전설) · 기술서 (드래곤 로어)(전설) · 신념의 귀걸이(전설)
메타트론	22	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 세계수의 장화(전설) · 세계수의 장화(전설) · 마격서 (라이즈 : 오디엄)(전설) · 마격서 (라이즈 : 오디엄)(전설) · 성서 (헬 프레셔)(전설) · 성서 (헬 프레셔)(전설) · 수행서 (망자 걸음 : 탄트라)(전설) · 수행서 (망자 걸음 : 탄트라)(전설) · 혈법서 (베인 엔드 : 강화 크림슨)(전설) · 혈법서 (베인 엔드 : 강화 크림슨)(전설) · 흑혈의 성배(전설) · 흑혈의 성배(전설) · 수행서 (무상)(전설) · 수행서 (무상)(전설) · 성서 (크루세이더)(신화) · 성서 (크루세이더)(신화) · 돌파석 결정(신화) · 돌파석 결정(신화)
명법군왕 헬바인	9	전설 제작 비법서(전설) · 심판관의 정수(전설) · 검은 망령의 투구(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 군왕의 활(전설) · 마법서 (데스힐: 에이션트)(전설) · 흑정령의 수정 (쉐도우 이베이젼 : 데스티니)(전설) · 대학살의 사이드(전설) · 돌파석 결정(신화)
무화	13	전설 제작 비법서(전설) · 심판관의 정수(전설) · 혈령의 태도(전설) · 마격서 (리뎀션)(전설) · 흑정령의 수정 (쉐도우 이베이젼 : 데스티니)(전설) · 귀혼서 (강림)(전설) · [스킨 카드] 영효검귀(전설) · 혈법서 (서먼 가디언)(전설) · 심연의 사이드(전설) · 전사의 인장 (타이탄 하트)(전설) · 귀혼서 (요기 낙뢰)(신화) · 근원의 성배(신화) · 돌파석 결정(신화)
물의 대정령	5	전설 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 에바의 방패(전설) · 몽환의 반지(전설)
바람의 대정령	5	사이하의 활(전설) · 전설 장신구 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 몽환의 반지(전설)
바위 삼킨 고르쏜	1	흑정령의 수정 (파이널 번)(전설)
바포메트	11	전설 무기 제작 비법서(전설) · 리치의 반지(전설) · 혈법서 (블러드 퀸)(전설) · 혈법서 (베인 엔드 : 강화 크림슨)(전설) · 혈법서 (블러드 레퀴엠)(전설) · 혈익의 사이드(전설) · 심연의 사이드(전설) · 혈옥의 성배(전설) · 혈화의 성배(전설) · 혈법서 (서먼 가디언 : 크림슨)(신화) · 돌파석 결정(신화)
바포메트의 분신	1	전설 방어구 제작 비법서 조각(전설)
발록	7	전설 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설) · 전사의 인장 (버서커 : 라이징)(전설) · [스킨 카드] 불멸의 군주(전설) · 영혼 결정 (카오스 블레이드)(신화)
베레스	6	마법서 (디스인티그레이트)(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 세계수의 장화(전설) · 세계수의 투구(전설) · 마법서 (데스힐: 에이션트)(전설)
베레스의 분신	1	전설 방어구 제작 비법서 조각(전설)
변이된 지룡의 고블린 노예	6	안타라스의 정수(전설) · 안타라스의 정수(전설) · 드래곤 슬레이어 검 조각(전설) · 드래곤 슬레이어 검 조각(전설) · 지룡의 비늘(전설) · 지룡의 비늘(전설)
보물 상자	8	전설 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 전사의 인장 (퓨리 : 라이징)(전설) · 마격서 (프로즌 스톱 : 오디엄)(전설) · 성서 (저지먼트 스턴 : 강화 디바인)(전설) · 수행서 (영체화 : 탄트라)(전설)
보물상자	2	안타라스의 정수(전설) · 드래곤 슬레이어 검 조각(전설)
부활의 야히 궁수	1	세계수의 손길(전설)
분노한 드레이크 킹	6	전설 제작 비법서(전설) · 심판관의 정수(전설) · 마법서 (스톱)(전설) · 공허의 활(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 전술 교본 (리로드)(전설)
불멸의 리치	18	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 마법서 (데스힐: 에이션트)(전설) · 마법서 (데스힐: 에이션트)(전설) · 리치 로브(전설) · 리치 로브(전설) · 리치의 반지(전설) · 리치의 반지(전설) · 정령의 수정 (어스 유니온)(전설) · 정령의 수정 (어스 유니온)(전설) · 흑정령의 수정 (다크 커튼)(전설) · 흑정령의 수정 (다크 커튼)(전설) · 병법서 (빅토리 오더)(전설) · 병법서 (빅토리 오더)(전설) · 전술 교본 (트리거 : 트루퍼)(전설) · 전술 교본 (트리거 : 트루퍼)(전설)
불멸의 야히 기병	1	마격서 (라이즈 : 오디엄)(전설)
불사의 머미 로드	3	마법서 (앱솔루트 배리어)(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설)
불신의 시어	13	마법서 (미티어 스트라이크)(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 흑정령의 수정 (파이널 번)(전설) · 시어의 심안(전설) · 시어의 심안(전설) · 불신의 각반(전설) · 불신의 각반(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 전사의 인장 (타이탄 락 : 라이징)(전설)
불의 대정령	6	전설 무기 제작 비법서(전설) · 심판관의 정수(전설) · 병법서 (블러드 유니온)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 파아그리오의 대검(전설) · 몽환의 반지(전설)
사신 그림 리퍼	19	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 장신구 제작 비법서(전설) · 전설 장신구 제작 비법서(전설) · 마격서 (리뎀션)(전설) · 마격서 (리뎀션)(전설) · 마법서 (릴리즈)(전설) · 마법서 (릴리즈)(전설) · 전사의 인장 (타이탄 폴)(전설) · 전사의 인장 (타이탄 폴)(전설) · 수행서 (선고 : 탄트라)(전설) · 수행서 (선고 : 탄트라)(전설) · 청월의 케레니스 마법인형 카드(전설) · 청월의 케레니스 마법인형 카드(전설) · 혈법서 (블러드 레퀴엠)(전설) · 혈화의 성배(전설) · 사신의 투구(신화) · 사신의 투구(신화) · 돌파석 결정(신화)
사신의 해골 기사	1	전설 제작 비법서(전설)
선장 칼립소	8	전설 제작 비법서(전설) · 심판관의 정수(전설) · 기술서 (드래곤 로어)(전설) · 흑정령의 수정 (파이널 번)(전설) · 신념의 귀걸이(전설) · 칼립소의 갑옷(전설) · 성서 (루미너스 : 디바인)(전설) · 수행서 (처단 : 강화 탄트라)(전설)
소환된 검은 망령 라이오스	12	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (드래곤 로어)(전설) · 검은 망령의 장갑(전설) · 검은 망령의 장갑(전설) · 검은 망령의 부츠(전설) · 검은 망령의 부츠(전설) · 검은 망령의 갑옷(전설) · 검은 망령의 갑옷(전설)
소환된 공포의 뱀파이어	8	마법서 (미티어 스트라이크)(전설) · 마법서 (미티어 스트라이크)(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 뱀파이어의 망토(전설) · 뱀파이어의 망토(전설)
소환된 광풍의 샤스키	8	침묵의 대검(전설) · 침묵의 대검(전설) · 전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 정령의 수정 (소울 오브 프레임: 스피릿)(전설) · 정령의 수정 (소울 오브 프레임: 스피릿)(전설)
소환된 네크로맨서	8	마법서 (스펙터)(전설) · 마법서 (스펙터)(전설) · 전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 네크로맨서의 정수(전설) · 네크로맨서의 정수(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설)
소환된 네크로스	2	마법서 (미티어 스트라이크)(전설) · 마법서 (미티어 스트라이크)(전설)
소환된 대흑장로	4	심판관의 정수(전설) · 심판관의 정수(전설) · 정령의 수정 (소울 오브 프레임: 스피릿)(전설) · 정령의 수정 (소울 오브 프레임: 스피릿)(전설)
소환된 데몬	8	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 혈령의 태도(전설) · 혈령의 태도(전설)
소환된 데스나이트	10	데스나이트의 불검(전설) · 데스나이트의 불검(전설) · 전설 무기 제작 비법서(전설) · 전설 무기 제작 비법서(전설) · 데스나이트의 정수(전설) · 데스나이트의 정수(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · 기술서 (카운터 배리어 : 베테랑)(전설)
소환된 두목 하그마	2	마법서 (미티어 스트라이크)(전설) · 하그마의 벨트(전설)
소환된 땅의 대정령	8	전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 마프르의 망토(전설) · 마프르의 망토(전설)
소환된 라인하르트	6	침묵의 대검(전설) · 침묵의 대검(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (드래곤 로어)(전설) · 신념의 귀걸이(전설) · 신념의 귀걸이(전설)
소환된 마담 바르보사	1	병법서 (블러드 유니온)(전설)
소환된 물의 대정령	8	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 에바의 방패(전설) · 에바의 방패(전설)
소환된 바람의 대정령	8	사이하의 활(전설) · 사이하의 활(전설) · 전설 장신구 제작 비법서(전설) · 전설 장신구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설)
소환된 베레스	10	마법서 (디스인티그레이트)(전설) · 마법서 (디스인티그레이트)(전설) · 전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 세계수의 장화(전설) · 세계수의 장화(전설) · 세계수의 투구(전설) · 세계수의 투구(전설)
소환된 불신의 시어	14	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 흑정령의 수정 (파이널 번)(전설) · 흑정령의 수정 (파이널 번)(전설) · 시어의 심안(전설) · 시어의 심안(전설) · 불신의 각반(전설) · 불신의 각반(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 영혼 결정 (카오스 미라쥬)(전설)
소환된 불의 대정령	10	전설 무기 제작 비법서(전설) · 전설 무기 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 병법서 (블러드 유니온)(전설) · 병법서 (블러드 유니온)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 파아그리오의 대검(전설) · 파아그리오의 대검(전설)
소환된 심판자 라마슈	3	마법서 (스펙터)(전설) · 병법서 (엑스칼리버)(전설) · 병법서 (엑스칼리버)(전설)
소환된 왜곡의 제니스 퀸	8	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 제니스 퀸의 망토(전설) · 제니스 퀸의 망토(전설)
소환된 잊혀진 자 알스카리아	6	전설 무기 제작 비법서(전설) · 전설 무기 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 마법서 (리커버리 배리어)(전설) · 마법서 (리커버리 배리어)(전설)
소환된 죽음	4	검은 망령의 갑옷(전설) · 검은 망령의 갑옷(전설) · 복종의 비수(전설) · 복종의 비수(전설)
소환된 죽음의 좀비 로드	10	마법서 (디스인티그레이트)(전설) · 마법서 (디스인티그레이트)(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 영혼 결정 (길로틴: 어비스)(전설)
소환된 질풍의 거대 드레이크	8	전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (드래곤 로어)(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설)
소환된 칼투란	8	칼투란의 망토(전설) · 칼투란의 망토(전설) · 칼투란의 벨트(전설) · 칼투란의 벨트(전설) · 전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설)
소환된 커츠	6	커츠의 검(전설) · 반역자의 방패(전설) · 병법서 (엑스칼리버)(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 혈령의 태도(전설)
소환된 쿠르토	2	병법서 (엑스칼리버)(전설) · 병법서 (엑스칼리버)(전설)
소환된 타락	10	마법서 (앱솔루트 배리어)(전설) · 마법서 (앱솔루트 배리어)(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 복종의 태도(전설) · 복종의 태도(전설)
소환된 타락자 디아르	10	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 세계수의 손길(전설) · 세계수의 손길(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 에번트의 망토(전설) · 에번트의 망토(전설)
소환된 피닉스	6	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 전술 교본 (피닉스 포스)(전설) · 전술 교본 (피닉스 포스)(전설)
순혈의 발록 도끼병	1	복종의 비수(전설)
스피리드 분신	2	스피리드의 정수(전설) · 스피리드의 정수(전설)
심판자 라마슈	2	마법서 (스펙터)(전설) · 병법서 (엑스칼리버)(전설)
아르고트	1	전설 제작 비법서(전설)
암살군왕 슬레이브	8	전설 제작 비법서(전설) · 심판관의 정수(전설) · 병법서 (블러드 유니온)(전설) · 세계수의 손길(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 원한의 검(전설) · 혈화의 성배(전설) · 돌파석 결정(신화)
야히	8	전설 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설) · 전사의 인장 (버서커 : 라이징)(전설) · [스킨 카드] 불멸의 군주(전설) · 성서 (헬 프레셔)(전설) · 영혼 결정 (카오스 블레이드)(신화)
어둠의 나이트 발드	4	전설 제작 비법서(전설) · 심판관의 정수(전설) · 흑정령의 수정 (쉐도우 대시 : 데스티니)(전설) · 귀혼서 (적월경)(전설)
얼음 여왕	10	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 마격서 (카운터 베인 : 오디엄)(전설) · 마격서 (카운터 베인 : 오디엄)(전설) · 마법서 (릴리즈)(전설) · 마법서 (릴리즈)(전설) · 전사의 인장 (타이탄 폴)(전설) · 전사의 인장 (타이탄 폴)(전설) · 얼음 여왕의 장갑(신화) · 얼음 여왕의 장갑(신화)
얼음 여왕의 환영	3	전설 변신 각성서(전설) · 신화 변신 각성서(신화) · 초월 변신 각성서(초월)
에이션트 가디언	15	병법서 (엑스칼리버)(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 전사의 인장 (타이탄 락 : 라이징)(전설) · 청년 반 변신 카드(전설) · 아르움 변신 카드(전설) · 셀린 드루가 변신 카드(전설) · 흑정령의 수정 (쉐도우 대시 : 데스티니)(전설) · 전술 교본 (인페르노 : 트루퍼)(전설) · 기술서 (인듀어런스 : 베테랑)(전설) · 기술서 (오러 가드)(전설)
에이션트 자이언트	8	전설 제작 비법서(전설) · 전설 장신구 제작 비법서(전설) · 빛나는 마프르의 반지(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 신념의 귀걸이(전설) · 귀혼서 (양기 호흡 : 극)(전설) · 기술서 (오러 블레이드)(전설) · 돌파석 결정(신화)
에키드나	11	전설 제작 비법서(전설) · 심판관의 정수(전설) · 기술서 (인듀어런스 : 베테랑)(전설) · 귀혼서 (강림)(전설) · 전술 교본 (트리거 : 트루퍼)(전설) · 기술서 (오러 블레이드)(전설) · 혈법서 (베인 인사이트)(전설) · 신화 제작 비법서(신화) · 혈법서 (서먼 가디언 : 크림슨)(신화) · 포식자의 사이드(신화) · 돌파석 결정(신화)
여왕 개미	6	마법서 (스펙터)(전설) · 전설 무기 제작 비법서(전설) · 심판관의 정수(전설) · 세계수의 장화(전설) · 신념의 귀걸이(전설) · 영혼 결정 (소울 프로텍션 : 어비스)(전설)
